Symbol,Name
20MICRONS,20 Microns Ltd
21STCENMGM,21st Century Management Services Ltd
3IINFOTECH,3i Infotech Ltd
3MINDIA,3M India Ltd
3PLAND,3P Land Holdings Ltd
3RDROCK,3rd Rock Multimedia Ltd
5PAISA,5Paisa Capital Ltd
63MOONS,63 Moons Technologies Ltd
AMJUMBO,A and M Jumbo Bags Ltd
DENORA,De Nora India Ltd,/stocks/de-nora-india-DENO
DSML,Debock Sales And Marketing Ltd
DECCANCE,Deccan Cements Ltd,/stocks/deccan-cements-DCNC
DEEPIND,Deep Industries Ltd,/stocks/deep-industries-DEEPI
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Ltd
DEEPAKNTR,Deepak Nitrite Ltd,/stocks/deepak-nitrite-DPNT
DELTACORP,Delta Corp Ltd,/stocks/delta-corp-DELT
DELTAMAGNT,Delta Manufacturing Ltd,/stocks/delta-manufacturing-DLTA
DEN,Den Networks Ltd,/stocks/den-networks-DENN
DEVIT,Dev Information Technology Ltd,/stocks/dev-information-technology-DEVN
DHFL,Dewan Housing Finance Corporation Ltd
DFMFOODS,DFM Foods Ltd
DHAMPURSUG,Dhampur Sugar Mills Ltd,/stocks/dhampur-sugar-mills-DAMS
DHANBANK,Dhanlaxmi Bank Ltd,/stocks/dhanlaxmi-bank-DNBK
DHANUKA,Dhanuka Agritech Ltd,/stocks/dhanuka-agritech-DHNP
DRL,Dhanuka Realty Ltd,/stocks/dhanuka-realty-DHAU
DHARSUGAR,Dharani Sugars & Chemicals Ltd
DHUNINV,Dhunseri Investments Ltd,/stocks/dhunseri-investments-DHUS
DTIL,Dhunseri Tea & Industries Ltd,/stocks/dhunseri-tea-and-industries-DHUT
DVL,Dhunseri Ventures Ltd,/stocks/dhunseri-ventures-DHUN
DIAPOWER,Diamond Power Infra Ltd
DICIND,DIC India Ltd,/stocks/dic-india-DICI
DGCONTENT,Digicontent Ltd,/stocks/digicontent-DIGC
DIGISPICE,DiGiSPICE Technologies Ltd,/stocks/digispice-technologies-DIGS
DIGJAMLTD,Digjam Ltd,/stocks/digjam-DIGJ
DNAMEDIA,Diligent Media Corporation Ltd,/stocks/diligent-media-corporation-DILG
DBL,Dilip Buildcon Ltd,/stocks/dilip-buildcon-DIBL
DISHTV,Dish TV India Ltd,/stocks/dish-tv-india-DSTV
DCAL,Dishman Carbogen Amcis Ltd,/stocks/dishman-carbogen-amcis-DSHM
DIVISLAB,Divi's Laboratories Ltd,/stocks/divis-laboratories-DIVI
DIXON,Dixon Technologies (India) Ltd,/stocks/dixon-technologies-india-DIXO
DLF,DLF Ltd,/stocks/dlf-DLF
DLINKINDIA,D-Link (India) Ltd
DOLLAR,Dollar Industries Ltd,/stocks/dollar-industries-DLLA
DONEAR,Donear Industries Ltd,/stocks/donear-industries-DONE
DPSCLTD,DPSC Ltd
DQE,DQ Entertainment (International) Ltd
LALPATHLAB,Dr. Lal Path Labs Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd
DREDGECORP,Dredging Corporation of India Ltd,/stocks/dredging-corporation-of-india-DRDG
DRSDILIP,DRS Dilip Roadlines Ltd,/stocks/drs-dilip-roadlines-DRSD
DUCON,Ducon Infratechnologies Ltd,/stocks/ducon-infratechnologies-DUCO
DWARKESH,Dwarikesh Sugar Industries Ltd,/stocks/dwarikesh-sugar-industries-DWAR
DSSL,Dynacons Systems & Solutions Ltd
DYNAMATECH,Dynamatic Technologies Ltd,/stocks/dynamatic-technologies-DYNM
DYNPRO,Dynemic Products Ltd,/stocks/dynemic-products-DYPR
E2E,E2E Networks Ltd,/stocks/e2e-networks-EENE
EASTSILK,Eastern Silk Industries Ltd,/stocks/eastern-silk-industries-ESIL
EASUNREYRL,Easun Reyrolle Ltd,/stocks/easun-reyrolle-EASU
EBIXFOREX,EbixCash World Money Ltd
ECLERX,eClerx Services Ltd,/stocks/eclerx-services-ECLE
EDELWEISS,Edelweiss Financial Services Ltd,/stocks/edelweiss-financial-services-EDEL
EDUCOMP,Educomp Solutions Ltd,/stocks/educomp-solutions-EDSO
EICHERMOT,Eicher Motors Ltd,/stocks/eicher-motors-EICH
EIDPARRY,EID Parry India Ltd
EIHAHOTELS,EIH Associated Hotels Ltd,/stocks/eih-associated-hotels-EIHA
EIHOTEL,EIH Ltd,/stocks/eih-EIHO
EIMCOELECO,Eimco Elecon (India) Ltd
ELECON,Elecon Engineering Company Ltd,/stocks/elecon-engineering-company-ELCN
ELECTCAST,Electrosteel Castings Ltd,/stocks/electrosteel-castings-ELST
ELECTHERM,Electrotherm (India) Ltd,/stocks/electrotherm-india-ELTH
ELGIEQUIP,Elgi Equipments Ltd,/stocks/elgi-equipments-ELGE
ELGIRUBCO,Elgi Rubber Company Ltd
EMAMILTD,Emami Ltd,/stocks/emami-EMAM
EMAMIPAP,Emami Paper Mills Ltd,/stocks/emami-paper-mills-EMAP
EMAMIREAL,Emami Realty Ltd,/stocks/emami-realty-EMMI
EMCO,Emco Ltd
EMKAY,Emkay Global Financial Services Ltd,/stocks/emkay-global-financial-services-EMKS
EMKAYTOOLS,Emkay Taps and Cutting Tools Ltd,/stocks/emkay-taps-and-cutting-tools-EMKY
EMIL,Electronics Mart India Ltd,/stocks/electronics-mart-india-EMI
EMMBI,Emmbi Industries Ltd,/stocks/emmbi-industries-EMMB
EDL,Empee Distilleries Ltd,/stocks/empee-distilleries-EMDI
ENDURANCE,Endurance Technologies Ltd
ENERGYDEV,Energy Development Company Ltd,/stocks/energy-development-company-EDCO
ENGINERSIN,Engineers India Ltd,/stocks/engineers-india-ENGI
ENIL,Entertainment Network (India) Ltd,/stocks/entertainment-network-india-ENIL
EON,Eon Electric Ltd
EQUITAS,Equitas Holdings Ltd
EQUITASBNK,Equitas Small Finance Bank Ltd,/stocks/equitas-small-finance-bank-EQU
ERIS,Eris Lifesciences Ltd,/stocks/eris-lifesciences-ERIS
EROSMEDIA,Eros International Media Ltd,/stocks/eros-international-media-EROS
ESABINDIA,Esab India Ltd,/stocks/esab-india-ESAB
ESCORTS,Escorts Ltd,/stocks/escorts-ESCO
ESSARSHPNG,Essar Shipping Ltd,/stocks/essar-shipping-ESPL
ESSELPACK,Essel Propack Ltd
ESTER,Ester Industries Ltd,/stocks/ester-industries-ESTR
EUROCERA,Euro Ceramics Ltd,/stocks/euro-ceramics-EUCE
EIFFL,Euro India Fresh Foods Ltd,/stocks/euro-india-fresh-foods-EURN
EUROMULTI,Euro Multivision Ltd,/stocks/euro-multivision-EUMU
EUROTEXIND,Eurotex Industries and Exports Ltd,/stocks/eurotex-industries-and-exports-EURO
EVEREADY,Eveready Industries India Ltd,/stocks/eveready-industries-india-ERDY
EVERESTIND,Everest Industries Ltd,/stocks/everest-industries-EVRI
EKC,Everest Kanto Cylinder Ltd,/stocks/everest-kanto-cylinder-EKCL
EXCELINDUS,Excel Industries Ltd,/stocks/excel-industries-EXCI
EXCEL,Excel Realty N Infra Ltd,/stocks/excel-realty-n-infra-EXCE
EXIDEIND,Exide Industries Ltd,/stocks/exide-industries-EXID
EXPLEOSOL,Expleo Solutions Ltd,/stocks/expleo-solutions-EXPL
FAIRCHEM,Fairchem Speciality Ltd
FCSSOFT,FCS Software Solutions Ltd,/stocks/fcs-software-solutions-FCSS
FDC,FDC Ltd
FMGOETZE,Federal-Mogul Goetze (India) Ltd,/stocks/federal-mogul-goetze-india-FEDM
FELIX,Felix Industries Ltd,/stocks/felix-industries-FELX
FACT,Fertilizers and Chemicals Travancore Ltd
FIEMIND,Fiem Industries Ltd,/stocks/fiem-industries-FIIN
FILATEX,Filatex India Ltd,/stocks/filatex-india-FLTX
FINEORG,Fine Organic Industries Ltd,/stocks/fine-organic-industries-FINO
FCL,Fineotex Chemical Ltd,/stocks/fineotex-chemical-FINE
FINCABLES,Finolex Cables Ltd,/stocks/finolex-cables-FNXC
FINPIPE,Finolex Industries Ltd,/stocks/finolex-industries-FINX
FSL,Firstsource Solutions Ltd,/stocks/firstsource-solutions-FISO
FLEXITUFF,Flexituff Ventures International Ltd,/stocks/flexituff-ventures-international-FLEI
FOCUS,Focus Lighting and Fixtures Ltd,/stocks/focus-lighting-and-fixtures-FOCS
FORTIS,Fortis Healthcare Ltd,/stocks/fortis-healthcare-FOHE
FOSECOIND,Foseco India Ltd,/stocks/foseco-india-FSCO
FOURTHDIM,Fourth Dimension Solutions Ltd,/stocks/fourth-dimension-solutions-FOUT
FCONSUMER,Future Consumer Ltd,/stocks/future-consumer-FTRE
FEL,Future Enterprises Ltd,/stocks/future-enterprises-FURE
FLFL,Future Lifestyle Fashions Ltd,/stocks/future-lifestyle-fashions-FLFL
FMNL,Future Market Networks Ltd,/stocks/future-market-networks-FMNL
FRETAIL,Future Retail Ltd,/stocks/future-retail-FRTL
FSC,Future Supply Chain Solutions Ltd,/stocks/future-supply-chain-solutions-FUTE
GABRIEL,Gabriel India Ltd,/stocks/gabriel-india-GABR
GAIL,GAIL (India) Ltd,/stocks/gail-india-GAIL
GALAXYSURF,Galaxy Surfactants Ltd,/stocks/galaxy-surfactants-GALX
GALLISPAT,Gallantt Ispat Ltd
GALLANTT,Gallantt Metal Ltd,/stocks/gallantt-metal-GALM
GAMMNINFRA,Gammon Infrastructure Projects Ltd
GANDHITUBE,Gandhi Special Tubes Ltd,/stocks/gandhi-special-tubes-GDTB
GANESHHOUC,Ganesh Housing Corporation Ltd
GANECOS,Ganesha Ecosphere Ltd,/stocks/ganesha-ecosphere-GANS
GANGAFORGE,Ganga Forging Ltd,/stocks/ganga-forging-GANF
GANGESSECU,Ganges Securities Ltd,/stocks/ganges-securities-GNGE
GRSE,Garden Reach Shipbuilders & Engineers Ltd,/stocks/garden-reach-shipbuilders-and-engineers-GRSE
GARDENSILK,Garden Silk Mills Ltd,/stocks/garden-silk-mills-GARD
GARFIBRES,Garware Technical Fibres Ltd,/stocks/garware-technical-fibres-GRWL
GDL,Gateway Distriparks Ltd,/stocks/gateway-distriparks-GAT
GATI,GATI Ltd,/stocks/gati-GATI
GAYAHWS,Gayatri Highways Ltd,/stocks/gayatri-highways-GYAT
GAYAPROJ,Gayatri Projects Ltd,/stocks/gayatri-projects-GAPR
GBGLOBAL,GB Global Ltd,/stocks/gb-global-GBGL
GEPIL,GE Power India Ltd,/stocks/ge-power-india-GEPO
GET&D,GE T&D India Ltd,/stocks/ge-tandd-india-GETD
GEECEE,GeeCee Ventures Ltd,/stocks/geecee-ventures-GECE
GEEKAYWIRE,Geekay Wires Ltd,/stocks/geekay-wires-GEEK
GICRE,General Insurance Corporation of India,/stocks/general-insurance-corporation-of-india-GENA
GENESYS,Genesys International Corporation Ltd,/stocks/genesys-international-corporation-GENS
GENUSPAPER,Genus Paper & Boards Ltd,/stocks/genus-paper-and-boards-GEUS
GENUSPOWER,Genus Power Infrastructures Ltd,/stocks/genus-power-infrastructures-GEOE
GEOJITFSL,Geojit Financial Services Ltd,/stocks/geojit-financial-services-GEOJ
GFLLtd,GFL Ltd,/stocks/gfl-GFLL
GHCL,GHCL Ltd,/stocks/ghcl-GHCH
GISOLUTION,GI Engineering Solutions Ltd,/stocks/gi-engineering-solutions-GIEN
GICHSGFIN,GIC Housing Finance Ltd,/stocks/gic-housing-finance-GICH
GILLANDERS,Gillanders Arbuthnot & Company Ltd
GILLETTE,Gillette India Ltd,/stocks/gillette-india-GILE
GINNIFILA,Ginni Filaments Ltd,/stocks/ginni-filaments-GNNI
GIRRESORTS,GIR Natureview Resorts Ltd,/stocks/gir-natureview-resorts-GIRN
GKWLtd,GKW Ltd,/stocks/gkw-GKWL
GLAND,Gland Pharma Ltd,/stocks/gland-pharma-GLAN
GSKCONS,GlaxoSmithKline Consumer Healthcare Ltd
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd,/stocks/glaxosmithkline-pharmaceuticals-GLAX
GLENMARK,Glenmark Pharmaceuticals Ltd,/stocks/glenmark-pharmaceuticals-GLEN
GLOBAL,Global Education Ltd,/stocks/global-education-GLOL
GLOBOFFS,Global Offshore Services Ltd,/stocks/global-offshore-services-GLSH
GLOBALVECT,Global Vectra Helicorp Ltd,/stocks/global-vectra-helicorp-GLVE
GICL,Globe International Carriers Ltd,/stocks/globe-international-carriers-GLOR
GLOBE,Globe Textiles (India) Ltd,/stocks/globe-textiles-india-GLOX
GLOBUSSPR,Globus Spirits Ltd,/stocks/globus-spirits-GLOS
GMBREW,GM Breweries Ltd
GMMPFAUDLR,GMM Pfaudler Ltd,/stocks/gmm-pfaudler-GMMP
GMRINFRA,GMR Infrastructure Ltd,/stocks/gmr-infrastructure-GMRI
GNA,GNA Axles Ltd,/stocks/gna-axles-GNAA
GOACARBON,Goa Carbon Ltd,/stocks/goa-carbon-GOAC
GOCLCORP,GOCL Corporation Ltd
GPIL,Godawari Power And Ispat Ltd,/stocks/godawari-power-and-ispat-GDPI
GODFRYPHLP,Godfrey Phillips India Ltd,/stocks/godfrey-phillips-india-GDFR
GODHA,Godha Cabcon & Insulation Ltd,/stocks/godha-cabcon-and-insulation-GODH
GODREJAGRO,Godrej Agrovet Ltd,/stocks/godrej-agrovet-GODE
GODREJCP,Godrej Consumer Products Ltd,/stocks/godrej-consumer-products-GOCP
GODREJIND,Godrej Industries Ltd,/stocks/godrej-industries-GODI
GODREJPROP,Godrej Properties Ltd,/stocks/godrej-properties-GODR
GOENKA,Goenka Diamond and Jewels Ltd,/stocks/goenka-diamond-and-jewels-GOEN
GOKEX,Gokaldas Exports Ltd,/stocks/gokaldas-exports-GOKL
GOKULAGRO,Gokul Agro Resources Ltd,/stocks/gokul-agro-resources-GOKG
GOKUL,Gokul Refoils and Solvent Ltd,/stocks/gokul-refoils-and-solvent-GOKU
GOLDENTOBC,Golden Tobacco Ltd,/stocks/golden-tobacco-GLDN
GOLDIAM,Goldiam International Ltd,/stocks/goldiam-international-GOLI
GOLDSTAR,Goldstar Power Ltd,/stocks/goldstar-power-GDST
GOLDTECH,Goldstone Technologies Ltd,/stocks/goldstone-technologies-GOLD
GOODLUCK,Goodluck India Ltd,/stocks/goodluck-india-GLST
GULFPETRO,GP Petroleums Ltd,/stocks/gp-petroleums-GPPE
GPTINFRA,GPT Infraprojects Ltd,/stocks/gpt-infraprojects-GPTI
GFSTEELS,Grand Foundry Ltd,/stocks/grand-foundry-GRND
GRANULES,Granules India Ltd,/stocks/granules-india-GRAN
GRAPHITE,Graphite India Ltd,/stocks/graphite-india-GRPH
GRASIM,Grasim Industries Ltd,/stocks/grasim-industries-GRAS
GRAVITA,Gravita India Ltd,/stocks/gravita-india-GRAI
GREAVESCOT,Greaves Cotton Ltd,/stocks/greaves-cotton-GRVL
GREENLAM,Greenlam Industries Ltd,/stocks/greenlam-industries-GEEN
GREENPANEL,Greenpanel Industries Ltd,/stocks/greenpanel-industries-GREP
GREENPLY,Greenply Industries Ltd,/stocks/greenply-industries-GRPL
GRETEX,Gretex Industries Ltd,/stocks/gretex-industries-GREX
GRINDWELL,Grindwell Norton Ltd,/stocks/grindwell-norton-GRNN
GRPLTD,GRP Ltd,/stocks/grp-GRPI
GSS,GSS Infotech Ltd,/stocks/gss-infotech-GSSI
GTLINFRA,GTL Infrastructure Ltd,/stocks/gtl-infrastructure-GTLI
GTL,GTL Ltd,/stocks/gtl-GTL
GTNIND,GTN Industries Ltd,/stocks/gtn-industries-GTN
GTNTEX,GTN Textiles Ltd,/stocks/gtn-textiles-GTNT
GTPL,GTPL Hathway Ltd,/stocks/gtpl-hathway-GTPH
GUFICBIO,Gufic Biosciences Ltd,/stocks/gufic-biosciences-GUFI
GUJALKALI,Gujarat Alkalies and Chemicals Ltd,/stocks/gujarat-alkalies-and-chemicals-GALK
GAEL,Gujarat Ambuja Exports Ltd,/stocks/gujarat-ambuja-exports-GAME
GUJAPOLLO,Gujarat Apollo Industries Ltd,/stocks/gujarat-apollo-industries-GJAI
FLUOROCHEM,Gujarat Fluorochemicals Ltd,/stocks/gujarat-fluorochemicals-GUJL
GUJGASLTD,Gujarat Gas Ltd,/stocks/gujarat-gas-GGAS
GIPCL,Gujarat Industries Power Company Ltd,/stocks/gujarat-industries-power-company-GJIP
GLFL,Gujarat Lease Financing Ltd,/stocks/gujarat-lease-financing-GLSE
GMDCLTD,Gujarat Mineral Development Corporation Ltd,/stocks/gujarat-mineral-development-corporation-GMDC
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd
GPPL,Gujarat Pipavav Port Ltd,/stocks/gujarat-pipavav-port-GPPL
GUJRAFFIA,Gujarat Raffia Industries Ltd,/stocks/gujarat-raffia-industries-GJRI
GSCLCEMENT,Gujarat Sidhee Cement Ltd
GSFC,Gujarat State Fertilizers & Chemicals Ltd
GSPL,Gujarat State Petronet Ltd,/stocks/gujarat-state-petronet-GSPT
GULFOILLUB,Gulf Oil Lubricants India Ltd,/stocks/gulf-oil-lubricants-india-GOLU
GULPOLY,Gulshan Polyols Ltd,/stocks/gulshan-polyols-GULS
GVKPIL,GVK Power & Infrastructure Ltd,/stocks/gvk-power-and-infrastructure-GVKP
GAL,Gyscoal Alloys Ltd,/stocks/gyscoal-alloys-GYSC
HGINFRA,H.G. Infra Engineering Ltd
HAPPSTMNDS,Happiest Minds Technologies Ltd,/stocks/happiest-minds-technologies-HAPP
HARITASEAT,Harita Seating Systems Ltd,/stocks/harita-seating-systems-HASS
HARRMALAYA,Harrisons Malayalam Ltd,/stocks/harrisons-malayalam-HRMA
HATHWAY,Hathway Cable & Datacom Ltd
HATSUN,Hatsun Agro Product Ltd,/stocks/hatsun-agro-product-HAPL
HAVELLS,Havells India Ltd,/stocks/havells-india-HVEL
HBSL,HB Stockholdings Ltd,/stocks/hb-stockholdings-HBSH
HBLPOWER,HBL Power Systems Ltd,/stocks/hbl-power-systems-HBLS
HCL-INSYS,HCL Infosystems Ltd,/stocks/hcl-infosystems-HCLI
HCLTECH,HCL Technologies Ltd,/stocks/hcl-technologies-HCLT
HDFCAMC,HDFC Asset Management Company Ltd,/stocks/hdfc-asset-management-company-HDFA
HDFCBANK,HDFC Bank Ltd,/stocks/hdfc-bank-HDBK
HDFCLIFE,HDFC Life Insurance Company Ltd,/stocks/hdfc-life-insurance-company-HDFL
HCG,Healthcare Global Enterprises Ltd,/stocks/healthcare-global-enterprises-HEAC
HECPROJECT,HEC Infra Projects Ltd,/stocks/hec-infra-projects-HECF
HEG,HEG Ltd,/stocks/heg-HEGL
HEIDELBERG,HeidelbergCement India Ltd,/stocks/heidelbergcement-india-HEID
HERCULES,Hercules Hoists Ltd,/stocks/hercules-hoists-HERC
HERITGFOOD,Heritage Foods Ltd,/stocks/heritage-foods-HEFI
HEROMOTOCO,Hero MotoCorp Ltd,/stocks/hero-motocorp-HROM
HESTERBIO,Hester Biosciences Ltd,/stocks/hester-biosciences-HEST
HEXATRADEX,Hexa Tradex Ltd,/stocks/hexa-tradex-HEXA
HEXAWARE,Hexaware Technologies Ltd
HFCL,HFCL Ltd,/stocks/hfcl-HFCL
HIKAL,Hikal Ltd,/stocks/hikal-HIKA
HIL,HIL Ltd,/stocks/hil-HLLT
HILTON,Hilton Metal Forging Ltd,/stocks/hilton-metal-forging-HILT
HSCL,Himadri Speciality Chemical Ltd,/stocks/himadri-speciality-chemical-HIMD
HIMATSEIDE,Himatsingka Seide Ltd,/stocks/himatsingka-seide-HMSD
HIRECT,Hind Rectifiers Ltd,/stocks/hind-rectifiers-HRCT
HINDALCO,Hindalco Industries Ltd,/stocks/hindalco-industries-HALC
HINDCON,Hindcon Chemicals Ltd,/stocks/hindcon-chemicals-HIDN
HPIL,Hindprakash Industries Ltd,/stocks/hindprakash-industries-HINP
HGS,Hinduja Global Solutions Ltd,/stocks/hinduja-global-solutions-HGSL
HAL,Hindustan Aeronautics Ltd,/stocks/hindustan-aeronautics-HIAE
HINDCOMPOS,Hindustan Composites Ltd,/stocks/hindustan-composites-HFRD
HCC,Hindustan Construction Company Ltd,/stocks/hindustan-construction-company-HCNS
HINDCOPPER,Hindustan Copper Ltd,/stocks/hindustan-copper-HCPR
HMVL,Hindustan Media Ventures Ltd,/stocks/hindustan-media-ventures-HINS
HINDMOTORS,Hindustan Motors Ltd,/stocks/hindustan-motors-HMTR
HINDOILEXP,Hindustan Oil Exploration Company Ltd,/stocks/hindustan-oil-exploration-company-HOEX
HINDPETRO,Hindustan Petroleum Corporation Ltd
HINDUNILVR,Hindustan Unilever Ltd,/stocks/hindustan-unilever-HLL
HINDZINC,Hindustan Zinc Ltd,/stocks/hindustan-zinc-HZNC
HINDNATGLS,Hindustan National Glass & Industries Ltd
HISARMETAL,Hisar Metal Industries Ltd,/stocks/hisar-metal-industries-HISR
HITECHCORP,Hitech Corporation Ltd,/stocks/hitech-corporation-HITE
HITECH,Hi-Tech Pipes Ltd,/stocks/hi-tech-pipes-HITC
HLVLTD,HLV Ltd,/stocks/hlv-HLVL
HMT,HMT Ltd,/stocks/hmt-HMTL
HONDAPOWER,Honda Siel Power Products Ltd
HONAUT,Honeywell Automation India Ltd,/stocks/honeywell-automation-india-HONE
HOTELRUGBY,Hotel Rugby Ltd
HUDCO,Housing & Urban Development Corporation Ltd
HDIL,Housing Development and Infrastructure Ltd,/stocks/housing-development-and-infrastructure-HDIL
HDFC,Housing Development Finance Corporation Ltd,/stocks/housing-development-finance-corporation-HDFC
HOVS,HOV Services Ltd,/stocks/hov-services-HOVS
HPL,HPL Electric & Power Ltd,/stocks/hpl-electric-and-power-HPLE
HSIL,HSIL Ltd
HTMEDIA,HT Media Ltd,/stocks/ht-media-HTML
HUBTOWN,Hubtown Ltd,/stocks/hubtown-HUBT
PAPERPROD,Huhtamaki PPL Ltd
HUSYSLTD,Husys Consulting Ltd,/stocks/husys-consulting-HUSY
ICEMAKE,Ice Make Refrigeration Ltd,/stocks/ice-make-refrigeration-ICEM
ICICIBANK,ICICI Bank Ltd,/stocks/icici-bank-ICBK
ICICIGI,ICICI Lombard General Insurance Company Ltd,/stocks/icici-lombard-general-insurance-company-ICIL
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,/stocks/icici-prudential-life-insurance-company-ICIR
ISEC,ICICI Securities Ltd,/stocks/icici-securities-ICCI
ICRA,ICRA Ltd,/stocks/icra-ICRA
IDBI,IDBI Bank Ltd,/stocks/idbi-bank-IDBI
IDFCFIRSTB,IDFC First Bank Ltd,/stocks/idfc-first-bank-IDFB
IDFC,IDFC Ltd,/stocks/idfc-IDFC
IFBAGRO,IFB Agro Industries Ltd,/stocks/ifb-agro-industries-IFBA
IFBIND,IFB Industries Ltd,/stocks/ifb-industries-IFBI
IFCI,IFCI Ltd,/stocks/ifci-IFCI
IFGLEXPOR,IFGL Refractories Ltd,/stocks/ifgl-refractories-IFGL
IGPL,IG Petrochemicals Ltd
IGARASHI,Igarashi Motors India Ltd,/stocks/igarashi-motors-india-IGAM
IIFL,IIFL Finance Ltd,/stocks/iifl-finance-IIFL
IIFLSEC,IIFL Securities Ltd,/stocks/iifl-securities-IIFS
IIFLWAM,IIFL Wealth Management Ltd
IL&FSENGG,IL&FS Engineering and Construction Company Ltd,/stocks/ilandfs-engineering-and-construction-company-ILFE
IVC,IL&FS Investment Managers Ltd
IL&FSTRANS,IL&FS Transportation Networks Ltd,/stocks/ilandfs-transportation-networks-ILFT
INDLMETER,IMP Powers Ltd,/stocks/imp-powers-IMPP
IMPEXFERRO,Impex Ferro Tech Ltd,/stocks/impex-ferro-tech-IMFT
INDBANK,Indbank Merchant Banking Services Ltd,/stocks/indbank-merchant-banking-services-IMBS
INDIAGLYCO,India Glycols Ltd,/stocks/india-glycols-IGLY
IMPAL,India Motor Parts and Accessories Ltd
INDNIPPON,India Nippon Electricals Ltd,/stocks/india-nippon-electricals-INEL
ITDC,India Tourism Development Corporation Ltd
IBULHSGFIN,Indiabulls Housing Finance Ltd,/stocks/indiabulls-housing-finance-INBF
IBULISL,Indiabulls Integrated Services Ltd
IBREALEST,Indiabulls Real Estate Ltd,/stocks/indiabulls-real-estate-INRL
IBVENTURES,Indiabulls Ventures Ltd
INDIAMART,Indiamart Intermesh Ltd,/stocks/indiamart-intermesh-INMR
INDIANB,Indian Bank,/stocks/indian-bank-INBA
INDIANCARD,Indian Card Clothing Company Ltd,/stocks/indian-card-clothing-company-IDIC
IEX,Indian Energy Exchange Ltd,/stocks/indian-energy-exchange-IIAN
INDIANHUME,Indian Hume Pipe Company Ltd,/stocks/indian-hume-pipe-company-IHME
IMFA,Indian Metals & Ferro Alloys Ltd
IOC,Indian Oil Corporation Ltd,/stocks/indian-oil-corporation-IOC
IOB,Indian Overseas Bank,/stocks/indian-overseas-bank-IOBK
IRCTC,Indian Railway Catering and Tourism Corporation Ltd,/stocks/indian-railway-catering-and-tourism-corporation-INIR
INDTERRAIN,Indian Terrain Fashions Ltd,/stocks/indian-terrain-fashions-ITFL
ICIL,Indo Count Industries Ltd,/stocks/indo-count-industries-ICNT
INDORAMA,Indo Rama Synthetics (India) Ltd,/stocks/indo-rama-synthetics-india-IRSY
INDOTECH,Indo Tech Transformers Ltd,/stocks/indo-tech-transformers-INTT
INDOTHAI,Indo Thai Securities Ltd,/stocks/indo-thai-securities-ITSL
INDOCO,Indoco Remedies Ltd,/stocks/indoco-remedies-INRM
NIPPOBATRY,Indo-National Ltd
INDOSOLAR,Indosolar Ltd
INDOSTAR,IndoStar Capital Finance Ltd,/stocks/indostar-capital-finance-INAC
INDOWIND,Indowind Energy Ltd,/stocks/indowind-energy-INWI
IGL,Indraprastha Gas Ltd,/stocks/indraprastha-gas-IGAS
INDRAMEDCO,Indraprastha Medical Corporation Ltd,/stocks/indraprastha-medical-corporation-IMCL
INDSWFTLAB,Ind-Swift Laboratories Ltd
INDSWFTLTD,Ind-Swift Ltd
INDUSINDBK,IndusInd Bank Ltd,/stocks/indusind-bank-INBK
IITL,Industrial Investment Trust Ltd,/stocks/industrial-investment-trust-INDI
INEOSSTYRO,INEOS Styrolution India Ltd
INFIBEAM,Infibeam Avenues Ltd,/stocks/infibeam-avenues-IFIB
NAUKRI,Info Edge (India) Ltd,/stocks/info-edge-india-INED
INFOBEAN,InfoBeans Technologies Ltd,/stocks/infobeans-technologies-IFOB
INFOMEDIA,Infomedia Press Ltd,/stocks/infomedia-press-INFO
INFY,Infosys Ltd,/stocks/infosys-INFY
INGERRAND,Ingersoll Rand (India) Ltd
INNOVANA,Innovana Thinklabs Ltd,/stocks/innovana-thinklabs-INTB
INNOVATIVE,Innovative Tyres and Tubes Ltd
INOXLEISUR,INOX Leisure Ltd
INOXWIND,Inox Wind Ltd,/stocks/inox-wind-INWN
INSECTICID,Insecticides (India) Ltd,/stocks/insecticides-india-ISIL
INSPIRISYS,Inspirisys Solutions Ltd,/stocks/inspirisys-solutions-INSP
INTEGRA,Integra Garments and Textiles Ltd,/stocks/integra-garments-and-textiles-INGA
INTELLECT,Intellect Design Arena Ltd,/stocks/intellect-design-arena-INEE
INTENTECH,Intense Technologies Ltd,/stocks/intense-technologies-INTN
INDIGO,InterGlobe Aviation Ltd,/stocks/interglobe-aviation-INGL
SUBCAPCITY,International Constructions Ltd
ISFT,Intrasoft Technologies Ltd,/stocks/intrasoft-technologies-INSO
INVENTURE,Inventure Growth & Securities Ltd,/stocks/inventure-growth-and-securities-IGSL
IOLCP,IOL Chemicals and Pharmaceuticals Ltd,/stocks/iol-chemicals-and-pharmaceuticals-IOLC
IPCALAB,IPCA Laboratories Ltd,/stocks/ipca-laboratories-IPCA
IRB,IRB Infrastructure Developers Ltd,/stocks/irb-infrastructure-developers-IRBI
IRCON,Ircon International Ltd,/stocks/ircon-international-IRCN
IRISDOREME,Iris Clothings Ltd,/stocks/iris-clothings-IRIC
ISMTLTD,ISMT Ltd,/stocks/ismt-ISMT
ITC,ITC Ltd,/stocks/itc-ITC
